Department,Name,Email,Username,Password,Roll Number
"AD Graphic Design","Waqas Sheikh","242841002@gift.edu.pk","waqas_sheikh_842","waqassheikh123!","242841002"
"AD Graphic Design","Tariq Hussain","241841003@gift.edu.pk","tariq_hussain_843","tariqhussain123!","241841003"
"AD Graphic Design","Naveed Iqbal","242841004@gift.edu.pk","naveed_iqbal_844","naveediqbal123!","242841004"
"AD Graphic Design","Shahzaib Akram","241841005@gift.edu.pk","shahzaib_akram_845","shahzaibakram123!","241841005"
"AD International Relations","Imran Anwar","24101751001@gift.edu.pk","imran_anwar_1751","imrananwar123!","24101751001"
"AD International Relations","Waqas Naeem","24201751002@gift.edu.pk","waqas_naeem_1752","waqasnaeem123!","24201751002"
"AD International Relations","Tariq Javed","24101751003@gift.edu.pk","tariq_javed_1753","tariqjaved123!","24101751003"
"AD International Relations","Naveed Tariq","24201751004@gift.edu.pk","naveed_tariq_1754","naveedtariq123!","24201751004"
"AD International Relations","Shahzaib Rehman","24101751005@gift.edu.pk","shahzaib_rehman_1755","shahzaibrehman123!","24101751005"
"AD Islamic Studies","Fahad Yousaf","241701001@gift.edu.pk","fahad_yousaf_701","fahadyousaf123!","241701001"
"AD Islamic Studies","Ibrahim Haider","242701002@gift.edu.pk","ibrahim_haider_702","ibrahimhaider123!","242701002"
"AD Islamic Studies","Zain Khan","241701003@gift.edu.pk","zain_khan_703","zainkhan123!","241701003"
"AD Islamic Studies","Saad Malik","242701004@gift.edu.pk","saad_malik_704","saadmalik123!","242701004"
"AD Islamic Studies","Kamran Raza","241701005@gift.edu.pk","kamran_raza_705","kamranraza123!","241701005"
"AD Management Sciences","Kamran Ali","24101651001@gift.edu.pk","kamran_ali_1651","kamranali123!","24101651001"
"AD Management Sciences","Imran Mahmood","24201651002@gift.edu.pk","imran_mahmood_1652","imranmahmood123!","24201651002"
"AD Management Sciences","Waqas Butt","24101651003@gift.edu.pk","waqas_butt_1653","waqasbutt123!","24101651003"
"AD Management Sciences","Tariq Siddiqui","24201651004@gift.edu.pk","tariq_siddiqui_1654","tariqsiddiqui123!","24201651004"
"AD Management Sciences","Naveed Mirza","24101651005@gift.edu.pk","naveed_mirza_1655","naveedmirza123!","24101651005"
"AD Mass Communication and Media Studies","Talha Ali","241651001@gift.edu.pk","talha_ali_651","talhaali123!","241651001"
"AD Mass Communication and Media Studies","Umar Mahmood","242651002@gift.edu.pk","umar_mahmood_652","umarmahmood123!","242651002"
"AD Mass Communication and Media Studies","Yasir Butt","241651003@gift.edu.pk","yasir_butt_653","yasirbutt123!","241651003"
"AD Mass Communication and Media Studies","Arslan Siddiqui","242651004@gift.edu.pk","arslan_siddiqui_654","arslansiddiqui123!","242651004"
"AD Mass Communication and Media Studies","Haris Mirza","241651005@gift.edu.pk","haris_mirza_655","harismirza123!","241651005"
"AD Political Science","Fahad Chaudhry","24101741001@gift.edu.pk","fahad_chaudhry_1741","fahadchaudhry123!","24101741001"
"AD Political Science","Ibrahim Qureshi","24201741002@gift.edu.pk","ibrahim_qureshi_1742","ibrahimqureshi123!","24201741002"
"AD Political Science","Zain Baig","24101741003@gift.edu.pk","zain_baig_1743","zainbaig123!","24101741003"
"AD Political Science","Saad Hashmi","24201741004@gift.edu.pk","saad_hashmi_1744","saadhashmi123!","24201741004"
"AD Political Science","Kamran Farooq","24101741005@gift.edu.pk","kamran_farooq_1745","kamranfarooq123!","24101741005"
"AD Psychology","Usman Gill","241691001@gift.edu.pk","usman_gill_691","usmangill123!","241691001"
"AD Psychology","Bilal Ashraf","242691002@gift.edu.pk","bilal_ashraf_692","bilalashraf123!","242691002"
"AD Psychology","Hamza Saleem","241691003@gift.edu.pk","hamza_saleem_693","hamzasaleem123!","241691003"
"AD Psychology","Ali Zafar","242691004@gift.edu.pk","ali_zafar_694","alizafar123!","242691004"
"AD Psychology","Omar Shah","241691005@gift.edu.pk","omar_shah_695","omarshah123!","241691005"
"AD Sociology","Usman Ali","24101731001@gift.edu.pk","usman_ali_1731","usmanali123!","24101731001"
"AD Sociology","Bilal Mahmood","24201731002@gift.edu.pk","bilal_mahmood_1732","bilalmahmood123!","24201731002"
"AD Sociology","Hamza Butt","24101731003@gift.edu.pk","hamza_butt_1733","hamzabutt123!","24101731003"
"AD Sociology","Ali Siddiqui","24201731004@gift.edu.pk","ali_siddiqui_1734","alisiddiqui123!","24201731004"
"AD Sociology","Omar Mirza","24101731005@gift.edu.pk","omar_mirza_1735","omarmirza123!","24101731005"
"AD Textile and Fashion Design","Abdullah Ali","241851001@gift.edu.pk","abdullah_ali_851","abdullahali123!","241851001"
"AD Textile and Fashion Design","Muhammad Mahmood","242851002@gift.edu.pk","muhammad_mahmood_852","muhammadmahmood123!","242851002"
"AD Textile and Fashion Design","Danish Butt","241851003@gift.edu.pk","danish_butt_853","danishbutt123!","241851003"
"AD Textile and Fashion Design","Farhan Siddiqui","242851004@gift.edu.pk","farhan_siddiqui_854","farhansiddiqui123!","242851004"
"AD Textile and Fashion Design","Rizwan Mirza","241851005@gift.edu.pk","rizwan_mirza_855","rizwanmirza123!","241851005"
"ADCP","Zain Anwar","24101291001@gift.edu.pk","zain_anwar_1291","zainanwar123!","24101291001"
"ADCP","Saad Naeem","24201291002@gift.edu.pk","saad_naeem_1292","saadnaeem123!","24201291002"
"ADCP","Kamran Javed","24101291003@gift.edu.pk","kamran_javed_1293","kamranjaved123!","24101291003"
"ADCP","Imran Tariq","24201291004@gift.edu.pk","imran_tariq_1294","imrantariq123!","24201291004"
"ADCP","Waqas Rehman","24101291005@gift.edu.pk","waqas_rehman_1295","waqasrehman123!","24101291005"
"B Des (Hons) Graphic Design","Hassan Chaudhry","241501001@gift.edu.pk","hassan_chaudhry_501","hassanchaudhry123!","241501001"
"B Des (Hons) Graphic Design","Usman Qureshi","242501002@gift.edu.pk","usman_qureshi_502","usmanqureshi123!","242501002"
"B Des (Hons) Graphic Design","Bilal Baig","241501003@gift.edu.pk","bilal_baig_503","bilalbaig123!","241501003"
"B Des (Hons) Graphic Design","Hamza Hashmi","242501004@gift.edu.pk","hamza_hashmi_504","hamzahashmi123!","242501004"
"B Des (Hons) Graphic Design","Ali Farooq","241501005@gift.edu.pk","ali_farooq_505","alifarooq123!","241501005"
"B Des (Hons) Textile and Fashion","Ibrahim Ali","241041001@gift.edu.pk","ibrahim_ali_41","ibrahimali123!","241041001"
"B Des (Hons) Textile and Fashion","Zain Mahmood","242041002@gift.edu.pk","zain_mahmood_42","zainmahmood123!","242041002"
"B Des (Hons) Textile and Fashion","Saad Butt","241041003@gift.edu.pk","saad_butt_43","saadbutt123!","241041003"
"B Des (Hons) Textile and Fashion","Kamran Siddiqui","242041004@gift.edu.pk","kamran_siddiqui_44","kamransiddiqui123!","242041004"
"B Des (Hons) Textile and Fashion","Imran Mirza","241041005@gift.edu.pk","imran_mirza_45","imranmirza123!","241041005"
"B.Ed.","Shahzaib Chaudhry","24101671001@gift.edu.pk","shahzaib_chaudhry_1671","shahzaibchaudhry123!","24101671001"
"B.Ed.","Abdullah Qureshi","24201671002@gift.edu.pk","abdullah_qureshi_1672","abdullahqureshi123!","24201671002"
"B.Ed.","Muhammad Baig","24101671003@gift.edu.pk","muhammad_baig_1673","muhammadbaig123!","24101671003"
"B.Ed.","Danish Hashmi","24201671004@gift.edu.pk","danish_hashmi_1674","danishhashmi123!","24201671004"
"B.Ed.","Farhan Farooq","24101671005@gift.edu.pk","farhan_farooq_1675","farhanfarooq123!","24101671005"
"B.Ed.","Talha Gill","24101701001@gift.edu.pk","talha_gill_1701","talhagill123!","24101701001"
"B.Ed.","Umar Ashraf","24201701002@gift.edu.pk","umar_ashraf_1702","umarashraf123!","24201701002"
"B.Ed.","Yasir Saleem","24101701003@gift.edu.pk","yasir_saleem_1703","yasirsaleem123!","24101701003"
"B.Ed.","Arslan Zafar","24201701004@gift.edu.pk","arslan_zafar_1704","arslanzafar123!","24201701004"
"B.Ed.","Haris Shah","24101701005@gift.edu.pk","haris_shah_1705","harisshah123!","24101701005"
"B.Ed. (1.5)","Rizwan Anwar","24101681001@gift.edu.pk","rizwan_anwar_1681","rizwananwar123!","24101681001"
"B.Ed. (1.5)","Asad Naeem","24201681002@gift.edu.pk","asad_naeem_1682","asadnaeem123!","24201681002"
"B.Ed. (1.5)","Khurram Javed","24101681003@gift.edu.pk","khurram_javed_1683","khurramjaved123!","24101681003"
"B.Ed. (1.5)","Junaid Tariq","24201681004@gift.edu.pk","junaid_tariq_1684","junaidtariq123!","24201681004"
"B.Ed. (1.5)","Salman Rehman","24101681005@gift.edu.pk","salman_rehman_1685","salmanrehman123!","24101681005"
"BCom (Hons)","Ahmed Ahmed","241181001@gift.edu.pk","ahmed_ahmed_181","ahmedahmed123!","241181001"
"BCom (Hons)","Hassan Sheikh","242181002@gift.edu.pk","hassan_sheikh_182","hassansheikh123!","242181002"
"BCom (Hons)","Usman Hussain","241181003@gift.edu.pk","usman_hussain_183","usmanhussain123!","241181003"
"BCom (Hons)","Bilal Iqbal","242181004@gift.edu.pk","bilal_iqbal_184","bilaliqbal123!","242181004"
"BCom (Hons)","Hamza Akram","241181005@gift.edu.pk","hamza_akram_185","hamzaakram123!","241181005"
"BCom (Hons)","Saad Yousaf","24101401001@gift.edu.pk","saad_yousaf_1401","saadyousaf123!","24101401001"
"BCom (Hons)","Kamran Haider","24201401002@gift.edu.pk","kamran_haider_1402","kamranhaider123!","24201401002"
"BCom (Hons)","Imran Khan","24101401003@gift.edu.pk","imran_khan_1403","imrankhan123!","24101401003"
"BCom (Hons)","Waqas Malik","24201401004@gift.edu.pk","waqas_malik_1404","waqasmalik123!","24201401004"
"BCom (Hons)","Tariq Raza","24101401005@gift.edu.pk","tariq_raza_1405","tariqraza123!","24101401005"
"BS Accounting and Finance","Saad Chaudhry","241351001@gift.edu.pk","saad_chaudhry_351","saadchaudhry123!","241351001"
"BS Accounting and Finance","Kamran Qureshi","242351002@gift.edu.pk","kamran_qureshi_352","kamranqureshi123!","242351002"
"BS Accounting and Finance","Imran Baig","241351003@gift.edu.pk","imran_baig_353","imranbaig123!","241351003"
"BS Accounting and Finance","Waqas Hashmi","242351004@gift.edu.pk","waqas_hashmi_354","waqashashmi123!","242351004"
"BS Accounting and Finance","Tariq Farooq","241351005@gift.edu.pk","tariq_farooq_355","tariqfarooq123!","241351005"
"BS Accounting and Finance","Noman Chaudhry","24101371001@gift.edu.pk","noman_chaudhry_1371","nomanchaudhry123!","24101371001"
"BS Accounting and Finance","Sohail Qureshi","24201371002@gift.edu.pk","sohail_qureshi_1372","sohailqureshi123!","24201371002"
"BS Accounting and Finance","Adeel Baig","24101371003@gift.edu.pk","adeel_baig_1373","adeelbaig123!","24101371003"
"BS Accounting and Finance","Raheel Hashmi","24201371004@gift.edu.pk","raheel_hashmi_1374","raheelhashmi123!","24201371004"
"BS Accounting and Finance","Mubashir Farooq","24101371005@gift.edu.pk","mubashir_farooq_1375","mubashirfarooq123!","24101371005"
"BS Business Administration","Naveed Anwar","241361001@gift.edu.pk","naveed_anwar_361","naveedanwar123!","241361001"
"BS Business Administration","Shahzaib Naeem","242361002@gift.edu.pk","shahzaib_naeem_362","shahzaibnaeem123!","242361002"
"BS Business Administration","Abdullah Javed","241361003@gift.edu.pk","abdullah_javed_363","abdullahjaved123!","241361003"
"BS Business Administration","Muhammad Tariq","242361004@gift.edu.pk","muhammad_tariq_364","muhammadtariq123!","242361004"
"BS Business Administration","Danish Rehman","241361005@gift.edu.pk","danish_rehman_365","danishrehman123!","241361005"
"BS Business Administration","Naveed Ahmed","24101431001@gift.edu.pk","naveed_ahmed_1431","naveedahmed123!","24101431001"
"BS Business Administration","Shahzaib Sheikh","24201431002@gift.edu.pk","shahzaib_sheikh_1432","shahzaibsheikh123!","24201431002"
"BS Business Administration","Abdullah Hussain","24101431003@gift.edu.pk","abdullah_hussain_1433","abdullahhussain123!","24101431003"
"BS Business Administration","Muhammad Iqbal","24201431004@gift.edu.pk","muhammad_iqbal_1434","muhammadiqbal123!","24201431004"
"BS Business Administration","Danish Akram","24101431005@gift.edu.pk","danish_akram_1435","danishakram123!","24101431005"
"BS Business Economics and Data Intelligence","Ibrahim Gill","24101941001@gift.edu.pk","ibrahim_gill_1941","ibrahimgill123!","24101941001"
"BS Business Economics and Data Intelligence","Zain Ashraf","24201941002@gift.edu.pk","zain_ashraf_1942","zainashraf123!","24201941002"
"BS Business Economics and Data Intelligence","Saad Saleem","24101941003@gift.edu.pk","saad_saleem_1943","saadsaleem123!","24101941003"
"BS Business Economics and Data Intelligence","Kamran Zafar","24201941004@gift.edu.pk","kamran_zafar_1944","kamranzafar123!","24201941004"
"BS Business Economics and Data Intelligence","Imran Shah","24101941005@gift.edu.pk","imran_shah_1945","imranshah123!","24101941005"
"BS Business Intelligence","Abdullah Gill","24101761001@gift.edu.pk","abdullah_gill_1761","abdullahgill123!","24101761001"
"BS Business Intelligence","Muhammad Ashraf","24201761002@gift.edu.pk","muhammad_ashraf_1762","muhammadashraf123!","24201761002"
"BS Business Intelligence","Danish Saleem","24101761003@gift.edu.pk","danish_saleem_1763","danishsaleem123!","24101761003"
"BS Business Intelligence","Farhan Zafar","24201761004@gift.edu.pk","farhan_zafar_1764","farhanzafar123!","24201761004"
"BS Business Intelligence","Rizwan Shah","24101761005@gift.edu.pk","rizwan_shah_1765","rizwanshah123!","24101761005"
"BS Clinical Psychology","Omar Anwar","241521001@gift.edu.pk","omar_anwar_521","omaranwar123!","241521001"
"BS Clinical Psychology","Fahad Naeem","242521002@gift.edu.pk","fahad_naeem_522","fahadnaeem123!","242521002"
"BS Clinical Psychology","Ibrahim Javed","241521003@gift.edu.pk","ibrahim_javed_523","ibrahimjaved123!","241521003"
"BS Clinical Psychology","Zain Tariq","242521004@gift.edu.pk","zain_tariq_524","zaintariq123!","242521004"
"BS Clinical Psychology","Saad Rehman","241521005@gift.edu.pk","saad_rehman_525","saadrehman123!","241521005"
"BS Clinical Psychology","Zainab Chaudhry","24101091001@gift.edu.pk","zainab_chaudhry_1091","zainabchaudhry123!","24101091001"
"BS Clinical Psychology","Hira Qureshi","24201091002@gift.edu.pk","hira_qureshi_1092","hiraqureshi123!","24201091002"
"BS Clinical Psychology","Maryam Baig","24101091003@gift.edu.pk","maryam_baig_1093","maryambaig123!","24101091003"
"BS Clinical Psychology","Sana Hashmi","24201091004@gift.edu.pk","sana_hashmi_1094","sanahashmi123!","24201091004"
"BS Clinical Psychology","Rabia Farooq","24101091005@gift.edu.pk","rabia_farooq_1095","rabiafarooq123!","24101091005"
"BS Clinical Psychology","Ahmed Anwar","24101381001@gift.edu.pk","ahmed_anwar_1381","ahmedanwar123!","24101381001"
"BS Clinical Psychology","Hassan Naeem","24201381002@gift.edu.pk","hassan_naeem_1382","hassannaeem123!","24201381002"
"BS Clinical Psychology","Usman Javed","24101381003@gift.edu.pk","usman_javed_1383","usmanjaved123!","24101381003"
"BS Clinical Psychology","Bilal Tariq","24201381004@gift.edu.pk","bilal_tariq_1384","bilaltariq123!","24201381004"
"BS Clinical Psychology","Hamza Rehman","24101381005@gift.edu.pk","hamza_rehman_1385","hamzarehman123!","24101381005"
"BS Computer Science","Farhan Gill","241371001@gift.edu.pk","farhan_gill_371","farhangill123!","241371001"
"BS Computer Science","Rizwan Ashraf","242371002@gift.edu.pk","rizwan_ashraf_372","rizwanashraf123!","242371002"
"BS Computer Science","Asad Saleem","241371003@gift.edu.pk","asad_saleem_373","asadsaleem123!","241371003"
"BS Computer Science","Khurram Zafar","242371004@gift.edu.pk","khurram_zafar_374","khurramzafar123!","242371004"
"BS Computer Science","Junaid Shah","241371005@gift.edu.pk","junaid_shah_375","junaidshah123!","241371005"
"BS Data Analytics","Adnan Ali","24101911001@gift.edu.pk","adnan_ali_1911","adnanali123!","24101911001"
"BS Data Analytics","Faisal Mahmood","24201911002@gift.edu.pk","faisal_mahmood_1912","faisalmahmood123!","24201911002"
"BS Data Analytics","Noman Butt","24101911003@gift.edu.pk","noman_butt_1913","nomanbutt123!","24101911003"
"BS Data Analytics","Sohail Siddiqui","24201911004@gift.edu.pk","sohail_siddiqui_1914","sohailsiddiqui123!","24201911004"
"BS Data Analytics","Adeel Mirza","24101911005@gift.edu.pk","adeel_mirza_1915","adeelmirza123!","24101911005"
"BS Data Science","Bilal Ahmed","241981001@gift.edu.pk","bilal_ahmed_981","bilalahmed123!","241981001"
"BS Data Science","Hamza Sheikh","242981002@gift.edu.pk","hamza_sheikh_982","hamzasheikh123!","242981002"
"BS Data Science","Ali Hussain","241981003@gift.edu.pk","ali_hussain_983","alihussain123!","241981003"
"BS Data Science","Omar Iqbal","242981004@gift.edu.pk","omar_iqbal_984","omariqbal123!","242981004"
"BS Data Science","Fahad Akram","241981005@gift.edu.pk","fahad_akram_985","fahadakram123!","241981005"
"BS English","Shoaib Chaudhry","241671001@gift.edu.pk","shoaib_chaudhry_671","shoaibchaudhry123!","241671001"
"BS English","Adnan Qureshi","242671002@gift.edu.pk","adnan_qureshi_672","adnanqureshi123!","242671002"
"BS English","Faisal Baig","241671003@gift.edu.pk","faisal_baig_673","faisalbaig123!","241671003"
"BS English","Noman Hashmi","242671004@gift.edu.pk","noman_hashmi_674","nomanhashmi123!","242671004"
"BS English","Sohail Farooq","241671005@gift.edu.pk","sohail_farooq_675","sohailfarooq123!","241671005"
"BS English","Arslan Ali","24101361001@gift.edu.pk","arslan_ali_1361","arslanali123!","24101361001"
"BS English","Haris Mahmood","24201361002@gift.edu.pk","haris_mahmood_1362","harismahmood123!","24201361002"
"BS English","Shoaib Butt","24101361003@gift.edu.pk","shoaib_butt_1363","shoaibbutt123!","24101361003"
"BS English","Adnan Siddiqui","24201361004@gift.edu.pk","adnan_siddiqui_1364","adnansiddiqui123!","24201361004"
"BS English","Faisal Mirza","24101361005@gift.edu.pk","faisal_mirza_1365","faisalmirza123!","24101361005"
"BS Financial Technology","Bilal Anwar","24101931001@gift.edu.pk","bilal_anwar_1931","bilalanwar123!","24101931001"
"BS Financial Technology","Hamza Naeem","24201931002@gift.edu.pk","hamza_naeem_1932","hamzanaeem123!","24201931002"
"BS Financial Technology","Ali Javed","24101931003@gift.edu.pk","ali_javed_1933","alijaved123!","24101931003"
"BS Financial Technology","Omar Tariq","24201931004@gift.edu.pk","omar_tariq_1934","omartariq123!","24201931004"
"BS Financial Technology","Fahad Rehman","24101931005@gift.edu.pk","fahad_rehman_1935","fahadrehman123!","24101931005"
"BS Home Economics (Food & Nutrition)","Hira Ali","241461001@gift.edu.pk","hira_ali_461","hiraali123!","241461001"
"BS Home Economics (Food & Nutrition)","Maryam Mahmood","242461002@gift.edu.pk","maryam_mahmood_462","maryammahmood123!","242461002"
"BS Home Economics (Food & Nutrition)","Sana Butt","241461003@gift.edu.pk","sana_butt_463","sanabutt123!","241461003"
"BS Home Economics (Food & Nutrition)","Rabia Siddiqui","242461004@gift.edu.pk","rabia_siddiqui_464","rabiasiddiqui123!","242461004"
"BS Home Economics (Food & Nutrition)","Maham Mirza","241461005@gift.edu.pk","maham_mirza_465","mahammirza123!","241461005"
"BS Home Economics Food and Nutrition","Hassan Yousaf","24101631001@gift.edu.pk","hassan_yousaf_1631","hassanyousaf123!","24101631001"
"BS Home Economics Food and Nutrition","Usman Haider","24201631002@gift.edu.pk","usman_haider_1632","usmanhaider123!","24201631002"
"BS Home Economics Food and Nutrition","Bilal Khan","24101631003@gift.edu.pk","bilal_khan_1633","bilalkhan123!","24101631003"
"BS Home Economics Food and Nutrition","Hamza Malik","24201631004@gift.edu.pk","hamza_malik_1634","hamzamalik123!","24201631004"
"BS Home Economics Food and Nutrition","Ali Raza","24101631005@gift.edu.pk","ali_raza_1635","aliraza123!","24101631005"
"BS Interior Design","Sohail Gill","24101621001@gift.edu.pk","sohail_gill_1621","sohailgill123!","24101621001"
"BS Interior Design","Adeel Ashraf","24201621002@gift.edu.pk","adeel_ashraf_1622","adeelashraf123!","24201621002"
"BS Interior Design","Raheel Saleem","24101621003@gift.edu.pk","raheel_saleem_1623","raheelsaleem123!","24101621003"
"BS Interior Design","Mubashir Zafar","24201621004@gift.edu.pk","mubashir_zafar_1624","mubashirzafar123!","24201621004"
"BS Interior Design","Ahmed Shah","24101621005@gift.edu.pk","ahmed_shah_1625","ahmedshah123!","24101621005"
"BS International Relations","Raheel Yousaf","241941001@gift.edu.pk","raheel_yousaf_941","raheelyousaf123!","241941001"
"BS International Relations","Mubashir Haider","242941002@gift.edu.pk","mubashir_haider_942","mubashirhaider123!","242941002"
"BS International Relations","Ahmed Khan","241941003@gift.edu.pk","ahmed_khan_943","ahmedkhan123!","241941003"
"BS International Relations","Hassan Malik","242941004@gift.edu.pk","hassan_malik_944","hassanmalik123!","242941004"
"BS International Relations","Usman Raza","241941005@gift.edu.pk","usman_raza_945","usmanraza123!","241941005"
"BS International Relations","Salman Chaudhry","24101481001@gift.edu.pk","salman_chaudhry_1481","salmanchaudhry123!","24101481001"
"BS International Relations","Talha Qureshi","24201481002@gift.edu.pk","talha_qureshi_1482","talhaqureshi123!","24201481002"
"BS International Relations","Umar Baig","24101481003@gift.edu.pk","umar_baig_1483","umarbaig123!","24101481003"
"BS International Relations","Yasir Hashmi","24201481004@gift.edu.pk","yasir_hashmi_1484","yasirhashmi123!","24201481004"
"BS International Relations","Arslan Farooq","24101481005@gift.edu.pk","arslan_farooq_1485","arslanfarooq123!","24101481005"
"BS Islamic Banking and Digital Finance","Waqas Yousaf","24101951001@gift.edu.pk","waqas_yousaf_1951","waqasyousaf123!","24101951001"
"BS Islamic Banking and Digital Finance","Tariq Haider","24201951002@gift.edu.pk","tariq_haider_1952","tariqhaider123!","24201951002"
"BS Islamic Banking and Digital Finance","Naveed Khan","24101951003@gift.edu.pk","naveed_khan_1953","naveedkhan123!","24101951003"
"BS Islamic Banking and Digital Finance","Shahzaib Malik","24201951004@gift.edu.pk","shahzaib_malik_1954","shahzaibmalik123!","24201951004"
"BS Islamic Banking and Digital Finance","Abdullah Raza","24101951005@gift.edu.pk","abdullah_raza_1955","abdullahraza123!","24101951005"
"BS Islamic Studies","Umar Anwar","241881001@gift.edu.pk","umar_anwar_881","umaranwar123!","241881001"
"BS Islamic Studies","Yasir Naeem","242881002@gift.edu.pk","yasir_naeem_882","yasirnaeem123!","242881002"
"BS Islamic Studies","Arslan Javed","241881003@gift.edu.pk","arslan_javed_883","arslanjaved123!","241881003"
"BS Islamic Studies","Haris Tariq","242881004@gift.edu.pk","haris_tariq_884","haristariq123!","242881004"
"BS Islamic Studies","Shoaib Rehman","241881005@gift.edu.pk","shoaib_rehman_885","shoaibrehman123!","241881005"
"BS Mass Communication and Media Studies","Adnan Gill","241931001@gift.edu.pk","adnan_gill_931","adnangill123!","241931001"
"BS Mass Communication and Media Studies","Faisal Ashraf","242931002@gift.edu.pk","faisal_ashraf_932","faisalashraf123!","242931002"
"BS Mass Communication and Media Studies","Noman Saleem","241931003@gift.edu.pk","noman_saleem_933","nomansaleem123!","241931003"
"BS Mass Communication and Media Studies","Sohail Zafar","242931004@gift.edu.pk","sohail_zafar_934","sohailzafar123!","242931004"
"BS Mass Communication and Media Studies","Adeel Shah","241931005@gift.edu.pk","adeel_shah_935","adeelshah123!","241931005"
"BS Mass Communication and Media Studies","Ali Gill","24101391001@gift.edu.pk","ali_gill_1391","aligill123!","24101391001"
"BS Mass Communication and Media Studies","Omar Ashraf","24201391002@gift.edu.pk","omar_ashraf_1392","omarashraf123!","24201391002"
"BS Mass Communication and Media Studies","Fahad Saleem","24101391003@gift.edu.pk","fahad_saleem_1393","fahadsaleem123!","24101391003"
"BS Mass Communication and Media Studies","Ibrahim Zafar","24201391004@gift.edu.pk","ibrahim_zafar_1394","ibrahimzafar123!","24201391004"
"BS Mass Communication and Media Studies","Zain Shah","24101391005@gift.edu.pk","zain_shah_1395","zainshah123!","24101391005"
"BS Mathematics and Artificial Intelligence","Raheel Chaudhry","24101921001@gift.edu.pk","raheel_chaudhry_1921","raheelchaudhry123!","24101921001"
